Nombre ,Link,Task,Benchmark,Modelo,WER,CER,ExtraTraining Data,Parametros M ,Arquitectura,Fecha,FLOPS,Datos de entrenamiento en horas
Scribosermo: Fast Speech-to-Text models for German and other Languages,https://arxiv.org/pdf/2110.07982v1,Speech Recognition,Common Voice Spanish,ConformerCTC-L (no-LM),7.46,,TRUE,,,2022-09-13,,
Scribosermo: Fast Speech-to-Text models for German and other Languages,https://arxiv.org/pdf/2110.07982v1,Speech Recognition,Common Voice French,ConformerCTC-L (no-LM),10.19,,TRUE,,,2022-09-13,,
Scribosermo: Fast Speech-to-Text models for German and other Languages,https://arxiv.org/pdf/2110.07982v1,Speech Recognition,Common Voice German,"QuartzNet15x5DE (CV-only, 5-gram)",7.7,3.20%,FALSE,,,2021-04-01,,
Scribosermo: Fast Speech-to-Text models for German and other Languages,https://arxiv.org/pdf/2110.07982v1,Speech Recognition,Common Voice German,"QuartzNet15x5DE (D37, 5-gram)",6.6,2.70%,TRUE,,,2021-07-02,,
Scribosermo: Fast Speech-to-Text models for German and other Languages,https://arxiv.org/pdf/2110.07982v1,Speech Recognition,Common Voice Spanish,QuartzNet15x5ES (CV-only),10.5,,FALSE,,,2021-04-01,,
Scribosermo: Fast Speech-to-Text models for German and other Languages,https://arxiv.org/pdf/2110.07982v1,Speech Recognition,Common Voice Spanish,QuartzNet15x5ES (D8),10,,TRUE,,,2021-04-01,,
Scribosermo: Fast Speech-to-Text models for German and other Languages,https://arxiv.org/pdf/2110.07982v1,Speech Recognition,Common Voice French,QuartzNet15x5FR (CV-only),12.1,,FALSE,,,2021-04-01,,
Scribosermo: Fast Speech-to-Text models for German and other Languages,https://arxiv.org/pdf/2110.07982v1,Speech Recognition,Common Voice French,QuartzNet15x5FR (D7),11,,TRUE,,,2021-07-02,,
Self-training and Pre-training are Complementary for Speech Recognition,https://arxiv.org/pdf/2010.11430v1,Speech Recognition,LibriSpeech test-clean,Conv + Transformer + wav2vec2.0 + pseudo labeling,1.5,,TRUE,,Transformer,2020-10-22,,
Self-training and Pre-training are Complementary for Speech Recognition,https://arxiv.org/pdf/2010.11430v1,Speech Recognition,LibriSpeech test-other,Conv + Transformer + wav2vec2.0 + pseudo labeling,3.1,,FALSE,,Transformer-CNN,2020-10-22,,
Self-training and Pre-training are Complementary for Speech Recognition,https://arxiv.org/pdf/2010.11430v1,Speech Recognition,LibriSpeech test-clean,wav2vec_wav2letter,2.7,,FALSE,,,2020-10-22,,
Semi-Supervised Speech Recognition via Local Prior Matching,https://arxiv.org/pdf/2002.10336v1,Speech Recognition,LibriSpeech test-other,"Local Prior Matching (Large Model, ConvLM LM)",15.28,,FALSE,,,2020-02-24,,
Semi-Supervised Speech Recognition via Local Prior Matching,https://arxiv.org/pdf/2002.10336v1,Speech Recognition,LibriSpeech test-clean,Local Prior Matching (Large Model),7.19,,FALSE,,,2020-02-24,,
Snips Voice Platform: an embedded Spoken Language Understanding system for private-by-design voice interfaces,https://arxiv.org/pdf/1805.10190v3,Speech Recognition,LibriSpeech test-clean,Snips,6.4,,FALSE,,,2018-05-25,,
Snips Voice Platform: an embedded Spoken Language Understanding system for private-by-design voice interfaces,https://arxiv.org/pdf/1805.10190v3,Speech Recognition,LibriSpeech test-other,Snips,16.5,,FALSE,,,2018-05-25,,
SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,https://arxiv.org/pdf/1904.08779v3,Speech Recognition,LibriSpeech test-clean,LAS (no LM),2.7,,TRUE,,,2019-04-18,,
SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,https://arxiv.org/pdf/1904.08779v3,Speech Recognition,LibriSpeech test-other,LAS (no LM),6.5,,TRUE,,,2019-04-18,,
SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,https://arxiv.org/pdf/1904.08779v3,Speech Recognition,LibriSpeech test-clean,LAS + SpecAugment,2.5,,TRUE,,,2019-04-18,,
SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,https://arxiv.org/pdf/1904.08779v3,Speech Recognition,LibriSpeech test-other,LAS + SpecAugment,5.8,,TRUE,,,2019-04-18,,
SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,https://arxiv.org/pdf/1904.08779v3,Speech Recognition,LibriSpeech test-clean,Squeezeformer (L),2.47,,FALSE,,Conformer,2022-06-02,,
SpeechStew: Simply Mix All Available Speech Recognition Data to Train One Large Neural Network,https://arxiv.org/pdf/2104.02133v3,Speech Recognition,LibriSpeech test-clean,SpeechStew (100M),2,,FALSE,,Conformer,2021-04-05,,
SpeechStew: Simply Mix All Available Speech Recognition Data to Train One Large Neural Network,https://arxiv.org/pdf/2104.02133v3,Speech Recognition,LibriSpeech test-other,SpeechStew (100M),4,,FALSE,,Conformer,2021-04-05,,
SpeechStew: Simply Mix All Available Speech Recognition Data to Train One Large Neural Network,https://arxiv.org/pdf/2104.02133v3,Speech Recognition,LibriSpeech test-clean,SpeechStew (1B),1.7,,FALSE,,Conformer,2021-04-05,,
SpeechStew: Simply Mix All Available Speech Recognition Data to Train One Large Neural Network,https://arxiv.org/pdf/2104.02133v3,Speech Recognition,LibriSpeech test-other,SpeechStew (1B),3.3,,FALSE,,Conformer,2021-04-05,,
SpeechStew: Simply Mix All Available Speech Recognition Data to Train One Large Neural Network,https://arxiv.org/pdf/2104.02133v3,Speech Recognition,WSJ eval92,Speechstew 100M,1.3,,TRUE,,,2021-04-05,,
Squeezeformer: An Efficient Transformer for Automatic Speech Recognition,https://arxiv.org/pdf/2206.00888v2,Speech Recognition,LibriSpeech test-clean,Conv + Transformer AM (ConvLM with Transformer Rescoring) (LS only),2.31,,FALSE,,Transformer,2019-11-19,,
Squeezeformer: An Efficient Transformer for Automatic Speech Recognition,https://arxiv.org/pdf/2206.00888v2,Speech Recognition,LibriSpeech test-other,Squeezeformer (L),5.97,,FALSE,,Conformer,2022-06-02,277.9GF,
State-of-the-Art Speech Recognition Using Multi-Stream Self-Attention With Dilated 1D Convolutions,https://arxiv.org/pdf/1910.00716v1,Speech Recognition,LibriSpeech test-clean,Multi-Stream Self-Attention With Dilated 1D Convolutions,2.2,,FALSE,,,2019-10-01,,
State-of-the-Art Speech Recognition Using Multi-Stream Self-Attention With Dilated 1D Convolutions,https://arxiv.org/pdf/1910.00716v1,Speech Recognition,LibriSpeech test-other,Multi-Stream Self-Attention With Dilated 1D Convolutions,5.8,,FALSE,,CNN,2019-10-01,,
TEVR: Improving Speech Recognition by Token Entropy Variance Reduction,https://arxiv.org/pdf/2206.12693v1,Speech Recognition,Common Voice German,wav2vec 2.0 XLS-R (no LM),12.06,,FALSE,,,2022-06-02,,
TEVR: Improving Speech Recognition by Token Entropy Variance Reduction,https://arxiv.org/pdf/2206.12693v1,Speech Recognition,Common Voice German,wav2vec 2.0 XLS-R 1B (5-gram),4.38,1.62%,TRUE,,,2022-06-02,,
TEVR: Improving Speech Recognition by Token Entropy Variance Reduction,https://arxiv.org/pdf/2206.12693v1,Speech Recognition,Common Voice German,wav2vec 2.0 XLS-R 1B + TEVR (4-gram),3.7,,TRUE,,,2022-06-02,,
TEVR: Improving Speech Recognition by Token Entropy Variance Reduction,https://arxiv.org/pdf/2206.12693v1,Speech Recognition,Common Voice German,wav2vec 2.0 XLS-R 1B + TEVR (5-gram),3.64,1.54%,TRUE,,,2022-06-02,,
TEVR: Improving Speech Recognition by Token Entropy Variance Reduction,https://arxiv.org/pdf/2206.12693v1,Speech Recognition,Common Voice German,wav2vec 2.0 XLS-R 1B + TEVR (no LM),10.1,,TRUE,,,2022-06-02,,
The PyTorch-Kaldi Speech Recognition Toolkit,https://arxiv.org/pdf/1811.07453v2,Speech Recognition,LibriSpeech test-clean,Li-GRU,6.2,,FALSE,,,2018-11-19,,
Transformer-based Acoustic Modeling for Hybrid Speech Recognition,https://arxiv.org/pdf/1910.09799v2,Speech Recognition,LibriSpeech test-clean,Hybrid + Transformer LM rescoring,2.26,,FALSE,,Transformer,2019-10-22,1.72E+17,
Transformer-based Acoustic Modeling for Hybrid Speech Recognition,https://arxiv.org/pdf/1910.09799v2,Speech Recognition,LibriSpeech test-other,hybrid + Transformer LM rescoring,4.85,,TRUE,,,2019-10-22,1.72E+17,
Transformer-based ASR Incorporating Time-reduction Layer and Fine-tuning with Self-Knowledge Distillation,https://arxiv.org/pdf/2103.09903v1,Speech Recognition,LibriSpeech test-clean,Transformer+Time reduction+Self Knowledge distillation,1.9,,FALSE,,Transformer,2021-03-17,,
Unified Streaming and Non-streaming Two-pass End-to-end Model for Speech Recognition,https://arxiv.org/pdf/2012.05481v2,Speech Recognition,AISHELL-1,CTC/Att,4.72,,FALSE,,,2020-12-10,,
Unified Streaming and Non-streaming Two-pass End-to-end Model for Speech Recognition,https://arxiv.org/pdf/2012.05481v2,Speech Recognition,AISHELL-1,U2,4.72,,FALSE,4.70E+07,,2020-12-10,,
Unimodal Aggregation for CTC-based Speech Recognition,https://arxiv.org/pdf/2309.08150v2,Speech Recognition,AISHELL-1,UMA,4.7,,FALSE,4.47E+07,,2023-09-15,,
"VoxPopuli: A Large-Scale Multilingual Speech Corpus for Representation Learning, Semi-Supervised Learning and Interpretation",https://arxiv.org/pdf/2101.00390v2,Speech Recognition,Common Voice German,VoxPopuli (n-gram),7.8,,TRUE,,,2021-01-02,3.41E+17,
"VoxPopuli: A Large-Scale Multilingual Speech Corpus for Representation Learning, Semi-Supervised Learning and Interpretation",https://arxiv.org/pdf/2101.00390v2,Speech Recognition,Common Voice Spanish,VoxPopuli-50K (n-gram),10,,TRUE,,,2021-01-02,2.20E+17,
"VoxPopuli: A Large-Scale Multilingual Speech Corpus for Representation Learning, Semi-Supervised Learning and Interpretation",https://arxiv.org/pdf/2101.00390v2,Speech Recognition,Common Voice French,VoxPopuli-50K (n-gram),9.6,,TRUE,,,2021-01-02,3.95E+17,
W2v-BERT: Combining Contrastive Learning and Masked Language Modeling for Self-Supervised Speech Pre-Training,https://arxiv.org/pdf/2108.06209v2,Speech Recognition,LibriSpeech test-clean,w2v-BERT XXL,1.4,,TRUE,,,2021-08-07,,
W2v-BERT: Combining Contrastive Learning and Masked Language Modeling for Self-Supervised Speech Pre-Training,https://arxiv.org/pdf/2108.06209v2,Speech Recognition,LibriSpeech test-other,w2v-BERT XXL,2.5,,FALSE,,,2021-08-07,,
wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,https://arxiv.org/pdf/2006.11477v3,Speech Recognition,LibriSpeech test-other,wav2vec 2.0,4.1,,TRUE,,Transformer-CNN,2020-06-20,8.14E+15,
wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,https://arxiv.org/pdf/2006.11477v3,Speech Recognition,LibriSpeech test-clean,wav2vec 2.0 with Libri-Light,1.8,,TRUE,,Transformer,2020-06-20,1.35E+17,
wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,https://arxiv.org/pdf/2006.11477v3,Speech Recognition,LibriSpeech test-other,wav2vec 2.0 with Libri-Light,3.3,,FALSE,,Transformer-CNN,2020-06-20,1.35E+17,
WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,https://arxiv.org/pdf/2110.13900v5,Speech Recognition,LibriSpeech test-clean,WavLM Large,1.8,,FALSE,,,2021-10-26,1.19E+17,
WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,https://arxiv.org/pdf/2110.13900v5,Speech Recognition,LibriSpeech test-other,WavLM Large,3.2,,FALSE,,,2021-10-26,1.19E+17,
,,Speech Recognition,WSJ eval92,CNN over RAW speech (wav),5.6,,FALSE,,,,,
,,Distant Speech Recognition,CHiME-4 real 6ch,Complex Spectral Mapping + WRBN + Utterance-Wise Dropout + Iterative Speaker Adaptation,1.99,,FALSE,,,2020-01-09,,
,,Speech Recognition,LibriSpeech test-clean,HMM-(SAT)GMM,8,,TRUE,,HMM,,,
,,Speech Recognition,LibriSpeech test-clean,HMM-DNN + pNorm*,5.5,,TRUE,,HMM,,,
,,Speech Recognition,LibriSpeech test-clean,HMM-TDNN + iVectors,4.8,,TRUE,,HMM,,,
,,Speech Recognition,LibriSpeech test-clean,HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations,4.3,,FALSE,,HMM,,,
,,Speech Recognition,LibriSpeech test-other,TDNN + pNorm + speed up/down speech,12.5,,FALSE,,,2017-07-09,,
,,Speech Recognition,WSJ eval92,"test-set on open vocabulary (i.e. harder), model = HMM-DNN + pNorm*",3.6,,FALSE,,,,,
